No,名前,略称,性別,属性,ポジション,Lv1 GP,Lv1 TP,Lv1 Kic,Lv1 Bod,Lv1 Con,Lv1 Gua,Lv1 Spe,Lv1 Sta,Lv1 Gut,Lv99 GP,Lv99 TP,Lv99 Kic,Lv99 Bod,Lv99 Con,Lv99 Gua,Lv99 Spe,Lv99 Sta,Lv99 Gut,GP Type,TP Type,Kic Type,Bod Type,Con Type,Gua Type,Spe Type,Sta Type,Gut Type,Fre,Total,技1,技種,威力,TP,属性,技2,技種,威力,TP,属性,技3,技種,威力,TP,属性,技4,技種,威力,TP,属性,検索用1,検索用2,検索用3,検索用4,検索用5,検索用6,検索用7,検索用8
939,縦　演明,たて,男,山,DF,32,24,17,11,7,11,9,10,9,195,152,65,60,64,60,60,62,64,5,5,5,5,5,5,5,5,5,16,451,うしろのしょうめん,BL,41,17,一致,モンキーターン,DR,15,17,一致,イリュージョンボール,DR,47,23,,プロファイルゾーン,BL,73,36,,うしろのしょうめんモンキーターンイリュージョンボールプロファイルゾーン,うしろのしょうめんモンキーターンイリュージョンボールプロファイルゾーン,うしろのしょうめんモンキーターンイリュージョンボールプロファイルゾーン,うしろのしょうめんモンキーターンイリュージョンボールプロファイルゾーン,BLDRDRBL,BLDRDRBL,BLDRDRBL,BLDRDRBL
940,界戸　瞬,しゅん,男,火,DF,33,44,9,10,8,9,16,11,11,136,156,44,31,36,54,64,56,60,5,5,1,1,5,1,2,5,1,19,364,クイックドロウ,BL,8,15,,たつまきせんぷう,DR,17,17,,フェイクボール,BL,46,25,,サイクロン,BL,64,32,,クイックドロウたつまきせんぷうフェイクボールサイクロン,クイックドロウたつまきせんぷうフェイクボールサイクロン,クイックドロウたつまきせんぷうフェイクボールサイクロン,クイックドロウたつまきせんぷうフェイクボールサイクロン,BLDRBLBL,BLDRBLBL,BLDRBLBL,BLDRBLBL
941,末久　朗,すえひさ,男,林,DF,43,40,9,10,8,11,9,7,8,101,148,64,60,58,71,36,65,62,5,1,2,1,1,2,5,2,1,17,433,しこふみ,BL,12,15,,ごりむちゅう,DR,49,23,,うしろのしょうめん,BL,41,17,,アースクェイク,BL,56,30,,しこふみごりむちゅううしろのしょうめんアースクェイク,しこふみごりむちゅううしろのしょうめんアースクェイク,しこふみごりむちゅううしろのしょうめんアースクェイク,しこふみごりむちゅううしろのしょうめんアースクェイク,BLDRBLBL,BLDRBLBL,BLDRBLBL,BLDRBLBL
942,真爪　雅彦,まづめ,男,火,MF,45,38,16,11,14,17,7,8,10,92,134,67,52,62,52,52,60,60,5,1,2,1,1,2,5,2,1,19,424,ドッペルゲンガー,BL,16,17,,すいせいシュート,LS,45,36,,ラン・ボール・ラン,NS,65,33,,スピニングカット,BB,58,30,,ドッペルゲンガーすいせいシュートラン・ボール・ランスピニングカット,ドッペルゲンガーすいせいシュートラン・ボール・ランスピニングカット,ドッペルゲンガーすいせいシュートラン・ボール・ランスピニングカット,ドッペルゲンガーすいせいシュートラン・ボール・ランスピニングカット,BLLSNSBB,BLLSNSBB,BLLSNSBB,BLLSNSBB
943,筋原　俊二,すじはら,男,風,GK,34,50,8,9,11,17,8,13,7,110,158,63,67,61,61,60,52,54,1,1,1,5,1,5,1,1,1,16,434,スワンダイブ,CA,10,17,一致,ザ・ウォール,BB,48,25,,ゴールずらし,CA,63,34,,ちゃぶだいがえし,P1,76,41,,スワンダイブザ・ウォールゴールずらしちゃぶだいがえし,スワンダイブザ・ウォールゴールずらしちゃぶだいがえし,スワンダイブザ・ウォールゴールずらしちゃぶだいがえし,スワンダイブザ・ウォールゴールずらしちゃぶだいがえし,CABBCAP1,CABBCAP1,CABBCAP1,CABBCAP1
944,神田　基祐,かんだ,男,風,DF,38,44,11,7,11,13,10,9,9,107,142,67,54,52,69,35,68,59,5,1,2,1,1,2,5,2,1,14,418,おんりょう,BL,16,17,,かみかくし,NS,43,24,,くものいと,BL,56,30,,さばきのてっつい,BB,80,38,,おんりょうかみかくしくものいとさばきのてっつい,おんりょうかみかくしくものいとさばきのてっつい,おんりょうかみかくしくものいとさばきのてっつい,おんりょうかみかくしくものいとさばきのてっつい,BLNSBLBB,BLNSBLBB,BLNSBLBB,BLNSBLBB
945,円輪　豊,まるわ,男,山,FW,43,39,7,7,8,12,8,7,11,88,156,63,61,61,63,36,66,61,5,1,2,1,1,2,5,2,1,15,426,スネークショット,NS,22,17,一致,フーセンガム,DR,38,22,,つちだるま,NS,58,24,一致,ダイナマイトシュート,NS,70,35,,スネークショットフーセンガムつちだるまダイナマイトシュート,スネークショットフーセンガムつちだるまダイナマイトシュート,スネークショットフーセンガムつちだるまダイナマイトシュート,スネークショットフーセンガムつちだるまダイナマイトシュート,NSDRNSNS,NSDRNSNS,NSDRNSNS,NSDRNSNS
946,森林　進,もりばやし,男,風,GK,20,55,11,11,14,16,12,15,7,189,150,58,60,51,64,52,72,55,5,1,1,5,1,5,1,1,1,18,430,ねっけつパンチ,P1,8,17,,トルネードキャッチ,CA,13,19,一致,アイスグランド,BL,44,25,一致,つむじ,CA,61,34,一致,ねっけつパンチトルネードキャッチアイスグランドつむじ,ねっけつパンチトルネードキャッチアイスグランドつむじ,ねっけつパンチトルネードキャッチアイスグランドつむじ,ねっけつパンチトルネードキャッチアイスグランドつむじ,P1CABLCA,P1CABLCA,P1CABLCA,P1CABLCA
947,若井　哲平,てっぺい,男,火,DF,39,52,8,9,7,14,11,13,10,140,165,61,70,56,65,56,54,55,1,1,1,5,1,5,1,1,1,22,439,ドッペルゲンガー,BL,16,17,,フリーズショット,NS,67,33,,フーセンガム,DR,38,22,一致,フェイクボンバー,BL,56,30,一致,ドッペルゲンガーフリーズショットフーセンガムフェイクボンバー,ドッペルゲンガーフリーズショットフーセンガムフェイクボンバー,ドッペルゲンガーフリーズショットフーセンガムフェイクボンバー,ドッペルゲンガーフリーズショットフーセンガムフェイクボンバー,BLNSDRBL,BLNSDRBL,BLNSDRBL,BLNSDRBL
948,古文　次元,ふるふみ,男,風,FW,31,25,5,11,9,10,11,9,9,138,194,69,58,44,51,44,62,62,1,5,5,1,1,1,1,1,1,16,406,スピニングシュート,NS,24,17,一致,ひゃくれつショット,NS,58,24,,イリュージョンボール,DR,47,23,,ダークトルネード,BS,78,42,,スピニングシュートひゃくれつショットイリュージョンボールダークトルネード,スピニングシュートひゃくれつショットイリュージョンボールダークトルネード,スピニングシュートひゃくれつショットイリュージョンボールダークトルネード,スピニングシュートひゃくれつショットイリュージョンボールダークトルネード,NSNSDRBS,NSNSDRBS,NSNSDRBS,NSNSDRBS
949,舞鶴　浩正,まいづる,男,林,GK,42,62,12,11,13,12,14,10,12,160,136,76,53,52,56,53,59,60,4,4,5,4,4,4,4,4,4,34,443,キラースライド,BL,8,10,一致,トルネードキャッチ,CA,13,19,,ねっけつヘッド,P1,46,28,,オーロラカーテン,CA,65,36,,キラースライドトルネードキャッチねっけつヘッドオーロラカーテン,キラースライドトルネードキャッチねっけつヘッドオーロラカーテン,キラースライドトルネードキャッチねっけつヘッドオーロラカーテン,キラースライドトルネードキャッチねっけつヘッドオーロラカーテン,BLCAP1CA,BLCAP1CA,BLCAP1CA,BLCAP1CA
950,橘　フミヤ,たちばな,男,林,FW,19,44,12,9,10,9,13,14,9,83,150,40,52,62,56,64,54,54,5,5,1,1,1,1,2,5,1,19,401,ダッシュアクセル,DR,8,15,,すいせいシュート,LS,45,36,,ダブルグレネード,NS,70,35,,ツインブースト,NS,84,44,,ダッシュアクセルすいせいシュートダブルグレネードツインブースト,ダッシュアクセルすいせいシュートダブルグレネードツインブースト,ダッシュアクセルすいせいシュートダブルグレネードツインブースト,ダッシュアクセルすいせいシュートダブルグレネードツインブースト,DRLSNSNS,DRLSNSNS,DRLSNSNS,DRLSNSNS
951,若杉　洋,わかすぎ,男,林,FW,33,51,9,7,10,10,9,9,8,123,106,40,51,48,42,45,49,40,2,2,2,2,2,2,2,2,2,39,354,ターザンキック,NS,31,20,,モンキーターン,DR,15,17,,あびせげり,NS,45,24,,クンフーヘッド,NS,70,35,一致,ターザンキックモンキーターンあびせげりクンフーヘッド,ターザンキックモンキーターンあびせげりクンフーヘッド,ターザンキックモンキーターンあびせげりクンフーヘッド,ターザンキックモンキーターンあびせげりクンフーヘッド,NSDRNSNS,NSDRNSNS,NSDRNSNS,NSDRNSNS
952,塩田　道之介,しおた,男,風,MF,31,61,8,10,16,11,8,11,9,158,174,41,56,66,46,52,56,52,4,1,1,2,2,5,1,4,1,16,385,ひとりワンツー,DR,17,17,,ムーンサルト,DR,38,22,一致,フェイクボール,BL,46,25,,ダブルグレネード,NS,70,35,,ひとりワンツームーンサルトフェイクボールダブルグレネード,ひとりワンツームーンサルトフェイクボールダブルグレネード,ひとりワンツームーンサルトフェイクボールダブルグレネード,ひとりワンツームーンサルトフェイクボールダブルグレネード,DRDRBLNS,DRDRBLNS,DRDRBLNS,DRDRBLNS
953,外山　大樹,そとやま,男,山,MF,72,44,11,8,11,12,7,19,8,206,154,64,61,56,60,32,73,60,5,1,2,1,1,2,5,2,1,20,426,イリュージョンボール,DR,47,23,,フリーズショット,NS,67,33,,かげぬい,BL,64,32,,たつまきどくぎり,DR,61,30,,イリュージョンボールフリーズショットかげぬいたつまきどくぎり,イリュージョンボールフリーズショットかげぬいたつまきどくぎり,イリュージョンボールフリーズショットかげぬいたつまきどくぎり,イリュージョンボールフリーズショットかげぬいたつまきどくぎり,DRNSBLDR,DRNSBLDR,DRNSBLDR,DRNSBLDR
954,西谷　研二,にしや,男,林,FW,30,44,10,9,10,9,13,12,9,96,146,44,63,60,52,70,59,60,5,5,1,1,1,1,2,5,1,17,425,ファントムシュート,NS,43,24,一致,ひとりワンツー,DR,17,17,,ラン・ボール・ラン,NS,65,33,一致,セキュリティショット,NS,82,44,一致,ファントムシュートひとりワンツーラン・ボール・ランセキュリティショット,ファントムシュートひとりワンツーラン・ボール・ランセキュリティショット,ファントムシュートひとりワンツーラン・ボール・ランセキュリティショット,ファントムシュートひとりワンツーラン・ボール・ランセキュリティショット,NSDRNSNS,NSDRNSNS,NSDRNSNS,NSDRNSNS
955,池州　宗彦,いけす,男,火,GK,31,32,17,14,7,8,8,11,10,138,113,54,60,52,46,48,52,63,1,5,1,1,1,1,1,1,1,15,390,スワンダイブ,CA,10,17,,コイルターン,BL,8,15,,サイクロン,BL,64,32,,ばくれつパンチ,P1,67,36,一致,スワンダイブコイルターンサイクロンばくれつパンチ,スワンダイブコイルターンサイクロンばくれつパンチ,スワンダイブコイルターンサイクロンばくれつパンチ,スワンダイブコイルターンサイクロンばくれつパンチ,CABLBLP1,CABLBLP1,CABLBLP1,CABLBLP1
956,請川　渡志,うけがわ,男,風,DF,33,43,8,7,8,8,12,11,10,125,129,55,62,55,55,61,66,59,5,5,1,1,1,1,2,5,1,24,437,ジャイアントスピン,BB,14,17,,スーパーアルマジロ,DR,38,22,,ごりむちゅう,DR,49,23,,スーパーしこふみ,BB,44,25,,ジャイアントスピンスーパーアルマジロごりむちゅうスーパーしこふみ,ジャイアントスピンスーパーアルマジロごりむちゅうスーパーしこふみ,ジャイアントスピンスーパーアルマジロごりむちゅうスーパーしこふみ,ジャイアントスピンスーパーアルマジロごりむちゅうスーパーしこふみ,BBDRDRBB,BBDRDRBB,BBDRDRBB,BBDRDRBB
957,早津　愛輝,はやつ,男,火,DF,42,59,12,14,13,14,10,14,13,158,140,60,58,63,61,55,60,54,4,4,4,4,4,4,4,4,4,23,434,おんりょう,BL,16,17,,のろい,DR,15,17,,うしろのしょうめん,BL,41,17,,かげぬい,BL,64,32,,おんりょうのろいうしろのしょうめんかげぬい,おんりょうのろいうしろのしょうめんかげぬい,おんりょうのろいうしろのしょうめんかげぬい,おんりょうのろいうしろのしょうめんかげぬい,BLDRBLBL,BLDRBLBL,BLDRBLBL,BLDRBLBL
958,角　努,すみ,男,火,DF,34,25,5,6,8,5,7,5,5,129,88,50,50,44,51,48,44,46,2,2,2,2,2,2,2,2,2,19,352,コイルターン,BL,8,15,,まきわりチョップ,P1,15,19,,サイクロン,BL,64,32,,ブレードアタック,BL,39,23,,コイルターンまきわりチョップサイクロンブレードアタック,コイルターンまきわりチョップサイクロンブレードアタック,コイルターンまきわりチョップサイクロンブレードアタック,コイルターンまきわりチョップサイクロンブレードアタック,BLP1BLBL,BLP1BLBL,BLP1BLBL,BLP1BLBL
959,中館　ヒロ,なかだて,男,林,FW,34,39,10,8,11,10,7,9,8,127,113,44,49,54,52,46,54,49,4,4,4,4,4,4,4,4,4,15,363,スピニングシュート,NS,24,17,,たまのりピエロ,DR,8,15,,クンフーヘッド,NS,70,35,一致,どくぎりのじゅつ,DR,24,17,,スピニングシュートたまのりピエロクンフーヘッドどくぎりのじゅつ,スピニングシュートたまのりピエロクンフーヘッドどくぎりのじゅつ,スピニングシュートたまのりピエロクンフーヘッドどくぎりのじゅつ,スピニングシュートたまのりピエロクンフーヘッドどくぎりのじゅつ,NSDRNSDR,NSDRNSDR,NSDRNSDR,NSDRNSDR
960,今井　扶樹,いまい,男,風,FW,27,47,13,8,10,7,14,13,9,116,137,53,53,53,54,60,55,56,5,5,1,1,1,1,2,5,1,20,404,メテオアタック,NS,58,24,,ラン・ボール・ラン,NS,65,33,,ヒートタックル,DR,47,23,,シャインドライブ,NS,78,42,,メテオアタックラン・ボール・ランヒートタックルシャインドライブ,メテオアタックラン・ボール・ランヒートタックルシャインドライブ,メテオアタックラン・ボール・ランヒートタックルシャインドライブ,メテオアタックラン・ボール・ランヒートタックルシャインドライブ,NSNSDRNS,NSNSDRNS,NSNSDRNS,NSNSDRNS
961,塗谷　貞哉,ぬりたに,男,林,MF,30,42,7,12,16,8,8,10,8,154,132,47,56,69,47,58,63,57,4,1,1,2,2,5,1,4,1,16,413,ローリングキック,NS,22,17,一致,ムーンサルト,DR,38,22,,レインボーループ,LS,70,52,,オーロラドリブル,DR,67,32,,ローリングキックムーンサルトレインボーループオーロラドリブル,ローリングキックムーンサルトレインボーループオーロラドリブル,ローリングキックムーンサルトレインボーループオーロラドリブル,ローリングキックムーンサルトレインボーループオーロラドリブル,NSDRLSDR,NSDRLSDR,NSDRLSDR,NSDRLSDR
962,大和田　隆太,おおわだ,男,火,DF,28,48,12,11,11,9,15,10,10,127,132,52,56,60,60,66,59,52,5,5,1,1,1,1,2,5,1,20,425,ホーントレイン,BB,16,17,,ごりむちゅう,DR,49,23,,ブレードアタック,BL,39,23,,れっぷうダッシュ,DR,74,36,一致,ホーントレインごりむちゅうブレードアタックれっぷうダッシュ,ホーントレインごりむちゅうブレードアタックれっぷうダッシュ,ホーントレインごりむちゅうブレードアタックれっぷうダッシュ,ホーントレインごりむちゅうブレードアタックれっぷうダッシュ,BBDRBLDR,BBDRBLDR,BBDRBLDR,BBDRBLDR
963,幸原　一徳,いっとく,男,林,FW,20,45,11,10,10,10,15,14,9,116,132,54,52,52,62,60,60,63,5,5,1,1,1,1,2,5,1,19,422,スピニングシュート,NS,24,17,,クルクルヘッド,NS,67,33,,ざんぞう,DR,52,25,一致,バックトルネード,BS,70,35,,スピニングシュートクルクルヘッドざんぞうバックトルネード,スピニングシュートクルクルヘッドざんぞうバックトルネード,スピニングシュートクルクルヘッドざんぞうバックトルネード,スピニングシュートクルクルヘッドざんぞうバックトルネード,NSNSDRBS,NSNSDRBS,NSNSDRBS,NSNSDRBS
964,大崎　練,おおさき,男,火,GK,25,45,10,9,10,8,12,14,11,132,132,45,59,52,60,69,65,63,5,5,1,1,1,1,2,5,1,20,433,ねっけつパンチ,P1,8,17,一致,ホーントレイン,BB,16,17,,サイクロン,BL,64,32,,シュートポケット,CA,44,28,,ねっけつパンチホーントレインサイクロンシュートポケット,ねっけつパンチホーントレインサイクロンシュートポケット,ねっけつパンチホーントレインサイクロンシュートポケット,ねっけつパンチホーントレインサイクロンシュートポケット,P1BBBLCA,P1BBBLCA,P1BBBLCA,P1BBBLCA
965,騎藤　瞬士,きとう,男,山,DF,34,43,8,9,4,10,19,11,10,118,146,46,34,35,59,69,55,60,5,5,1,1,5,1,2,5,1,19,377,キラースライド,BL,8,10,,イリュージョンボール,DR,47,23,,ブレードアタック,BL,39,23,,サイクロン,BL,64,32,,キラースライドイリュージョンボールブレードアタックサイクロン,キラースライドイリュージョンボールブレードアタックサイクロン,キラースライドイリュージョンボールブレードアタックサイクロン,キラースライドイリュージョンボールブレードアタックサイクロン,BLDRBLBL,BLDRBLBL,BLDRBLBL,BLDRBLBL
966,島袋　誠治,しまぶくろ,男,火,GK,55,69,14,16,13,15,17,16,15,173,138,60,70,56,69,61,58,52,2,2,2,2,2,2,2,2,2,16,442,ねっけつパンチ,P1,8,17,一致,まきわりチョップ,P1,15,19,,うしろのしょうめん,BL,41,17,,こがらし,CA,41,27,,ねっけつパンチまきわりチョップうしろのしょうめんこがらし,ねっけつパンチまきわりチョップうしろのしょうめんこがらし,ねっけつパンチまきわりチョップうしろのしょうめんこがらし,ねっけつパンチまきわりチョップうしろのしょうめんこがらし,P1P1BLCA,P1P1BLCA,P1P1BLCA,P1P1BLCA
967,松本　はやと,はやと,男,林,GK,24,66,7,9,13,16,13,16,9,88,136,63,63,42,60,56,64,60,1,1,1,5,1,5,1,1,1,20,428,トルネードキャッチ,CA,13,19,,コンドルダイブ,NS,58,24,,ロケットこぶし,P1,41,27,,スーパースキャン（Ｂ）,BL,39,23,一致,トルネードキャッチコンドルダイブロケットこぶしスーパースキャン（Ｂ）,トルネードキャッチコンドルダイブロケットこぶしスーパースキャン（Ｂ）,トルネードキャッチコンドルダイブロケットこぶしスーパースキャン（Ｂ）,トルネードキャッチコンドルダイブロケットこぶしスーパースキャン（Ｂ）,CANSP1BL,CANSP1BL,CANSP1BL,CANSP1BL
968,夕霧　　爽也,ゆうぎり,男,山,DF,67,72,17,17,17,13,17,15,17,176,166,68,65,63,61,68,60,63,4,4,4,4,4,4,4,4,4,23,471,マジック,DR,22,17,,ブレードアタック,BL,39,23,,ざんぞう,DR,52,25,,ボルケイノカット,BB,73,36,,マジックブレードアタックざんぞうボルケイノカット,マジックブレードアタックざんぞうボルケイノカット,マジックブレードアタックざんぞうボルケイノカット,マジックブレードアタックざんぞうボルケイノカット,DRBLDRBB,DRBLDRBB,DRBLDRBB,DRBLDRBB
969,渡辺　映宏,わたなべ,男,山,MF,46,43,8,9,7,15,8,11,8,132,176,61,66,63,63,59,60,56,1,1,1,5,1,5,1,1,1,17,445,ジャイアントスピン,BB,14,17,,ターザンキック,NS,31,20,一致,ザ・ウォール,BB,48,25,一致,スーパーしこふみ,BB,44,25,,ジャイアントスピンターザンキックザ・ウォールスーパーしこふみ,ジャイアントスピンターザンキックザ・ウォールスーパーしこふみ,ジャイアントスピンターザンキックザ・ウォールスーパーしこふみ,ジャイアントスピンターザンキックザ・ウォールスーパーしこふみ,BBNSBBBB,BBNSBBBB,BBNSBBBB,BBNSBBBB
970,赤羽　隼士,あかばね,男,山,DF,46,38,17,9,12,14,11,11,7,103,146,68,59,57,54,61,61,52,5,1,2,1,1,2,5,2,1,16,428,しっぷうダッシュ,DR,8,15,,スーパースキャン（Ｂ）,BL,39,23,,くものいと,BL,56,30,,シューティングスター,BB,84,40,,しっぷうダッシュスーパースキャン（Ｂ）くものいとシューティングスター,しっぷうダッシュスーパースキャン（Ｂ）くものいとシューティングスター,しっぷうダッシュスーパースキャン（Ｂ）くものいとシューティングスター,しっぷうダッシュスーパースキャン（Ｂ）くものいとシューティングスター,DRBLBLBB,DRBLBLBB,DRBLBLBB,DRBLBLBB
971,乗松　響平,のりまつ,男,火,GK,43,38,15,8,12,16,8,9,11,211,140,68,52,60,60,59,76,60,5,1,2,1,1,2,5,2,1,21,456,まきわりチョップ,P1,15,19,,フェイクボンバー,BL,56,30,一致,フレイムダンス,BL,62,32,一致,かえんほうしゃ,CA,76,41,一致,まきわりチョップフェイクボンバーフレイムダンスかえんほうしゃ,まきわりチョップフェイクボンバーフレイムダンスかえんほうしゃ,まきわりチョップフェイクボンバーフレイムダンスかえんほうしゃ,まきわりチョップフェイクボンバーフレイムダンスかえんほうしゃ,P1BLBLCA,P1BLBLCA,P1BLBLCA,P1BLBLCA
972,馬場　信輔,ばば,男,山,DF,43,54,12,12,10,11,11,10,14,165,168,66,71,70,66,62,68,63,4,4,4,4,4,4,4,4,4,32,498,おんりょう,BL,16,17,,フェイクボール,BL,46,25,,ジグザグスパーク,DR,47,23,,サイクロン,BL,64,32,,おんりょうフェイクボールジグザグスパークサイクロン,おんりょうフェイクボールジグザグスパークサイクロン,おんりょうフェイクボールジグザグスパークサイクロン,おんりょうフェイクボールジグザグスパークサイクロン,BLBLDRBL,BLBLDRBL,BLBLDRBL,BLBLDRBL
973,旅本　明宏,たびもと,男,風,GK,30,44,9,12,15,11,11,9,9,145,130,41,60,75,42,56,61,62,4,1,1,2,2,5,1,4,1,16,413,サイクロン,BL,64,32,一致,ロケットこぶし,P1,41,27,,サイクロン,BL,64,32,一致,ゴールずらし,CA,63,34,,サイクロンロケットこぶしサイクロンゴールずらし,サイクロンロケットこぶしサイクロンゴールずらし,サイクロンロケットこぶしサイクロンゴールずらし,サイクロンロケットこぶしサイクロンゴールずらし,BLP1BLCA,BLP1BLCA,BLP1BLCA,BLP1BLCA
974,加持　徹,かじ,男,林,FW,30,53,8,7,10,10,7,11,9,134,106,40,40,47,44,47,41,40,2,2,2,2,2,2,2,2,2,35,334,スピニングシュート,NS,24,17,,ラン・ボール・ラン,NS,65,33,一致,ひとりワンツー,DR,17,17,,スーパーアルマジロ,DR,38,22,,スピニングシュートラン・ボール・ランひとりワンツースーパーアルマジロ,スピニングシュートラン・ボール・ランひとりワンツースーパーアルマジロ,スピニングシュートラン・ボール・ランひとりワンツースーパーアルマジロ,スピニングシュートラン・ボール・ランひとりワンツースーパーアルマジロ,NSNSDRDR,NSNSDRDR,NSNSDRDR,NSNSDRDR
975,上条　時生,ときお,男,山,GK,44,40,11,9,10,7,4,8,9,140,184,77,45,44,76,39,51,48,2,2,2,2,2,2,2,2,2,20,400,まきわりチョップ,P1,15,19,一致,ごりむちゅう,DR,49,23,一致,プレッシャーパンチ,CA,15,19,,ドこんじょうキャッチ,CA,69,36,一致,まきわりチョップごりむちゅうプレッシャーパンチドこんじょうキャッチ,まきわりチョップごりむちゅうプレッシャーパンチドこんじょうキャッチ,まきわりチョップごりむちゅうプレッシャーパンチドこんじょうキャッチ,まきわりチョップごりむちゅうプレッシャーパンチドこんじょうキャッチ,P1DRCACA,P1DRCACA,P1DRCACA,P1DRCACA
976,門上　捻治,かどがみ,男,山,FW,33,47,10,7,11,11,10,8,7,125,108,49,79,40,70,40,49,40,2,2,2,2,2,2,2,2,2,24,391,かみかくし,NS,43,24,一致,どくぎりのじゅつ,DR,24,17,,パトリオットシュート,LS,69,50,,しこふみ,BL,12,15,,かみかくしどくぎりのじゅつパトリオットシュートしこふみ,かみかくしどくぎりのじゅつパトリオットシュートしこふみ,かみかくしどくぎりのじゅつパトリオットシュートしこふみ,かみかくしどくぎりのじゅつパトリオットシュートしこふみ,NSDRLSBL,NSDRLSBL,NSDRLSBL,NSDRLSBL
977,エイ　キング,エイ,男,火,DF,42,50,17,9,11,17,11,7,14,101,148,71,55,56,56,60,68,70,5,1,2,1,1,2,5,2,1,18,454,クイックドロウ,BL,8,15,,マジック,DR,22,17,,ヒートタックル,DR,47,23,一致,フレイムダンス,BL,62,32,一致,クイックドロウマジックヒートタックルフレイムダンス,クイックドロウマジックヒートタックルフレイムダンス,クイックドロウマジックヒートタックルフレイムダンス,クイックドロウマジックヒートタックルフレイムダンス,BLDRDRBL,BLDRDRBL,BLDRDRBL,BLDRDRBL
978,西原　裕次郎,にしはら,男,風,MF,42,39,9,11,9,13,9,10,7,107,138,70,52,54,64,39,66,57,5,1,2,1,1,2,5,2,1,16,418,モンキーターン,DR,15,17,,フーセンガム,DR,38,22,,クルクルヘッド,NS,67,33,,ジグザグスパーク,DR,47,23,一致,モンキーターンフーセンガムクルクルヘッドジグザグスパーク,モンキーターンフーセンガムクルクルヘッドジグザグスパーク,モンキーターンフーセンガムクルクルヘッドジグザグスパーク,モンキーターンフーセンガムクルクルヘッドジグザグスパーク,DRDRNSDR,DRDRNSDR,DRDRNSDR,DRDRNSDR
979,山道　大樹,やまみち,男,火,GK,38,46,11,9,6,8,20,14,11,138,154,40,36,33,61,68,62,54,5,5,1,1,5,1,2,5,1,22,376,ワイルドクロー,CA,41,27,,ねっけつヘッド,P1,46,28,一致,ざんぞう,DR,52,25,,つむじ,CA,61,34,,ワイルドクローねっけつヘッドざんぞうつむじ,ワイルドクローねっけつヘッドざんぞうつむじ,ワイルドクローねっけつヘッドざんぞうつむじ,ワイルドクローねっけつヘッドざんぞうつむじ,CAP1DRCA,CAP1DRCA,CAP1DRCA,CAP1DRCA
980,西部　鷹也　,せいぶ,男,風,DF,32,29,4,6,5,8,7,6,8,169,154,67,68,67,68,64,68,60,4,4,4,4,4,4,4,4,4,27,489,キラースライド,BL,8,10,,どくぎりのじゅつ,DR,24,17,一致,うしろのしょうめん,BL,41,17,,ホークショット,BS,78,34,一致,キラースライドどくぎりのじゅつうしろのしょうめんホークショット,キラースライドどくぎりのじゅつうしろのしょうめんホークショット,キラースライドどくぎりのじゅつうしろのしょうめんホークショット,キラースライドどくぎりのじゅつうしろのしょうめんホークショット,BLDRBLBS,BLDRBLBS,BLDRBLBS,BLDRBLBS
981,鼻本　丈雄,はなもと,男,林,DF,31,46,14,9,9,9,15,10,9,83,144,42,54,52,55,73,54,59,5,5,1,1,1,1,2,5,1,16,405,クイックドロウ,BL,8,15,一致,あびせげり,NS,45,24,,モンキーターン,DR,15,17,,フェイクボンバー,BL,56,30,,クイックドロウあびせげりモンキーターンフェイクボンバー,クイックドロウあびせげりモンキーターンフェイクボンバー,クイックドロウあびせげりモンキーターンフェイクボンバー,クイックドロウあびせげりモンキーターンフェイクボンバー,BLNSDRBL,BLNSDRBL,BLNSDRBL,BLNSDRBL
982,藤村　刃,ふじむら,男,山,FW,55,48,10,14,11,13,12,12,12,171,158,56,61,56,60,60,54,60,1,1,1,1,1,1,1,1,1,37,444,すいせいシュート,LS,45,36,,ブレードアタック,BL,39,23,,アイスグランド,BL,44,25,,バックトルネード,BS,70,35,,すいせいシュートブレードアタックアイスグランドバックトルネード,すいせいシュートブレードアタックアイスグランドバックトルネード,すいせいシュートブレードアタックアイスグランドバックトルネード,すいせいシュートブレードアタックアイスグランドバックトルネード,LSBLBLBS,LSBLBLBS,LSBLBLBS,LSBLBLBS
983,大林　たかお,おおばやし,男,山,MF,42,40,17,7,14,17,8,8,7,112,133,71,60,52,58,52,63,62,5,1,2,1,1,2,5,2,1,16,434,しこふみ,BL,12,15,一致,ホーントレイン,BB,16,17,一致,スーパーアルマジロ,DR,38,22,一致,ザ・ウォール,BB,48,25,一致,しこふみホーントレインスーパーアルマジロザ・ウォール,しこふみホーントレインスーパーアルマジロザ・ウォール,しこふみホーントレインスーパーアルマジロザ・ウォール,しこふみホーントレインスーパーアルマジロザ・ウォール,BLBBDRBB,BLBBDRBB,BLBBDRBB,BLBBDRBB
984,板橋　真,いたばし,男,山,FW,31,53,7,11,9,15,9,12,10,127,184,56,65,60,63,58,58,54,1,1,1,5,1,5,1,1,1,22,436,あびせげり,NS,45,24,,ぶんしんフェイント,DR,76,36,,クロスドライブ,NS,67,33,,ダークトルネード,BS,78,42,,あびせげりぶんしんフェイントクロスドライブダークトルネード,あびせげりぶんしんフェイントクロスドライブダークトルネード,あびせげりぶんしんフェイントクロスドライブダークトルネード,あびせげりぶんしんフェイントクロスドライブダークトルネード,NSDRNSBS,NSDRNSBS,NSDRNSBS,NSDRNSBS
