No,Name,NickName,GENDER,ELEMENT,POSITION,ROLE,AGE_GROUP,SCHOOL_YEAR,TEAM,OBTAIN,IE1,IE2,IE3,GO1,GO2,GO3,ARS,ORI,VIC,KICK,CONTROL,TECHNIQUE,PRESSURE,PHYSICAL,AGILITY,INTELLIGENCE,SHOT,FOCUS(AT),FOCUS(DF),SCRAMBLE(AT),SCRAMBLE(DF),SHOT_BLOCK,KEEPER_POWER
2109,剣 恭平,ソード,男,風,FW,選手,中学生,二年生,無所属,西洋剣術を研究していて鎧を着こんで対戦している。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2110,好 桃妃,ハート,女,火,GK,選手,中学生,二年生,無所属,愛の伝道師としてみんなの相談に積極的に乗ってくれる。,×,×,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
2111,菱 拓夢,ダイア,男,山,MF,選手,中学生,二年生,無所属,宝石の歴史を勉強していて昔のアクセサリーに詳しい。,×,×,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
2112,棍 健斗,クローバー,男,林,DF,選手,中学生,二年生,無所属,四つ葉のクローバーの栽培に挑戦中。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2113,美良野 管津夫,ミラノ,男,林,MF,選手,中学生,三年生,無所属,幼い頃に聴いたイタリア民謡に感銘を受け自分でも　それっぽい曲を作曲している。,×,×,○,×,○,○,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
2114,仮面 即,仮面,男,火,GK,選手,中学生,二年生,無所属,仮面をかぶるお芝居を日本でも流行らせようと頑張っている。,×,×,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
2115,吹連 津栄,フィレン,男,風,DF,選手,中学生,二年生,無所属,ダ・ヴィンチが大好きで絵の勉強にイタリアまで行ったくらい。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2116,墨田 光沙,アリー,女,火,GK,選手,中学生,三年生,無所属,彼女がデザインしたタトゥーシールはみんなに大人気。,×,×,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
2117,彫之内 敬晴,敬晴,男,火,DF,選手,中学生,三年生,無所属,先生に髪型を注意され反発してスキンヘッドにしている。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2118,紋別 翔紘,翔紘,男,火,MF,選手,中学生,二年生,無所属,任侠ものの映画に影響されてつい大股で歩いてしまう。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2119,刺枝 雪将,サッシー,男,火,FW,選手,中学生,三年生,無所属,いろんな模様を考えるのが大好きですぐ自分の腕に描いちゃう。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2120,針根津 哲成,ハリネズミ,男,山,GK,選手,中学生,一年生,無所属,本当は優しいのについ心ないことを言って　周りを傷つける。,×,×,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2121,鴨野 奏絵,カモノハシ,男,山,DF,選手,中学生,一年生,無所属,のたーっと泳ぐのが大好き。スピードは出ないけど気にしない。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2122,有袋 千愛,カンガルー,女,山,DF,選手,中学生,一年生,無所属,お腹にポケットのついた服を着ていてなんでもその中に放り込む。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2123,袋熊 輝幸,袋熊,男,山,MF,選手,中学生,一年生,無所属,一見おっとりした姿だけど指でモノをつかむ力は凄まじい。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2124,志村 辛太郎,シンタ,男,風,GK,選手,中学生,二年生,無所属,アジアの辛い料理を食べ歩くのが大好き。,×,×,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
2125,石床 広流,石床,男,火,DF,選手,中学生,二年生,無所属,ベッドは硬い方がいいと信じているらしくついに　石の上で眠るようになったという。,×,×,○,×,○,○,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2126,神代 裕詩朗,しじん,男,火,FW,選手,中学生,二年生,無所属,ひらめくと　場所に関係なく朗読しちゃう　自称詩人。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2127,西寒田 聖平,ナベマン,男,風,DF,選手,中学生,二年生,無所属,鍋料理が大好きで　真夏でもフーフー言いながら　食べている。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2128,飛江田 範,ビーター,男,火,GK,選手,中学生,三年生,無所属,体を軽くすれば空を飛べると信じていて無理なダイエットをしている。,×,×,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
2129,赤頭 巾,あかずきん,女,山,DF,選手,中学生,一年生,無所属,いつも　フードつきの赤いコートを着てかわいいバスケットを　持ち歩いている。,×,×,○,×,○,○,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2130,靴作 小仁,シューズ,男,風,MF,選手,中学生,二年生,無所属,おじいさんの手伝いをしているうちに靴作りの名人になった。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2131,白雪 リンゴ,リンゴ,女,火,FW,選手,中学生,二年生,無所属,傷んだリンゴを　うっかり食べてしまい大変な目にあったという過去を持つ。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2132,野辺沢 領汰,のべくん,男,風,GK,選手,中学生,二年生,無所属,山菜を採りに行って自分で料理するのが趣味。,×,×,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2133,忌部 啓司郎,忌部,男,林,DF,選手,中学生,二年生,無所属,人の言うことを絶対に信じない。先生の授業ですらも！,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2134,細石 京介,サザレ,男,火,MF,選手,中学生,二年生,無所属,石の塊を探すのが趣味で全国の野山を巡っている。,×,×,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
2135,助高 誉士,ひとだすけ,男,山,FW,選手,中学生,二年生,無所属,１日１回人助けをする『人助け協会』会長。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2136,孫家 仲謀,そんくん,男,火,GK,選手,中学生,三年生,無所属,父親を早くに亡くしたので自分が家族を支えると誓った。,×,×,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
2137,曹 孟徳,そうくん,男,風,FW,選手,中学生,三年生,無所属,孫子の兵法を研究していて自分で本を書いたくらい。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2138,飛張 益徳,ちょうくん,男,火,FW,選手,中学生,三年生,無所属,暴れ出すと手がつけられない。橋を通せんぼして大騒ぎしたことも。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2139,連環 貂子,ちょうせん,女,山,DF,選手,中学生,三年生,無所属,中学生なのに　全身から大人顔負けのオーラを放っている。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2140,伊和都 勇真,伊和都,男,山,MF,選手,中学生,二年生,無所属,築１００年以上の古い家に住んでいるため現代的なマンションに強い憧れを持つ。,×,×,○,×,○,○,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2141,有馬 詩歩,詩歩,女,風,FW,選手,中学生,一年生,無所属,『詩吟』の魅力に取りつかれてしまい同好会をつくる計画を立てているらしい。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2142,高城乃 風子,風子,女,林,FW,選手,中学生,一年生,無所属,風の匂いが瞬時に嗅ぎ分けられるという使いどころの難しい　変な特技の持ち主。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2143,石手 実奈美,実奈美,女,火,GK,選手,中学生,三年生,無所属,大きな石を　コツコツと削り続けては様々なオブジェを作り出している彫刻家。,×,×,○,×,○,○,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2144,三羽 踊,サンバ,女,火,GK,選手,中学生,二年生,無所属,サンバダンスの名人。毎年リオに踊りに行くほど。,×,×,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2145,理央 マルシャ,マルシャ,女,風,DF,選手,中学生,二年生,無所属,ブラジリアン柔術の達人。舐めてかかると腕を折られちゃうぞ。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2146,羊谷 倫義,ひつじ,男,山,FW,選手,中学生,一年生,無所属,子ヒツジのように　おとなしい性格のため不良の標的にされることが何かと多い。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2147,鵜坂 有加里,あかりん,女,山,DF,選手,中学生,二年生,無所属,『明るく振る舞っていればみんな幸せ』というモットーで　今日も笑顔を振りまく。,×,×,○,×,○,○,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2148,小流古 リオ,リオ,女,火,GK,選手,中学生,三年生,無所属,巨大な像に目がなく写真を撮ってコレクションにしている。,×,×,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2149,穴沢 希多留,穴沢,男,火,DF,選手,中学生,二年生,無所属,平らな地面を見かけると　なぜか途端に穴を掘りたくてたまらなくなるという。,×,×,○,×,○,○,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2150,安富 文章,ぶんちゃん,男,山,GK,選手,中学生,二年生,無所属,新旧問わず日本語のありとあらゆる文章を日々　研究しているという熱心な勉強家。,×,×,○,×,○,○,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2151,利根川 智夏,智夏,女,山,GK,選手,中学生,二年生,無所属,動物を見かけると　すぐ追いかけてしまって気づくと迷子に。,×,×,○,×,○,○,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2152,砥鹿 火蓮,カレン,女,火,FW,選手,中学生,三年生,無所属,時間にルーズなクセに他人が遅刻をするとフキゲンになってしまう困ったちゃん。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2153,中目 栞,栞,女,林,MF,選手,中学生,一年生,無所属,趣味で作った栞を　図書館で配ったところ大人気となり　今もリクエストが絶えない。,×,×,○,×,○,○,×,×,○,97,104,102,84,85,78,93,201,197,195,178,177,169,735
2154,砂田 サハラ,サハラ,女,火,GK,選手,中学生,二年生,無所属,砂漠での生活に憧れていて自宅の庭を全部砂場にした。,×,×,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
2155,星読 カウカ,カウカ,男,風,DF,選手,中学生,二年生,無所属,星を見ながら　正しい方角を旅することができる。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2156,波久奴 花王瑠,カオル,男,林,FW,選手,中学生,三年生,無所属,どんなに不利な状況に置かれたとしても静かに相手の動きを観察して対応する。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2157,猪苗代 阿子,アコ,女,火,MF,選手,中学生,二年生,無所属,お父さんよりもうどんの麺を作るのが　うまいらしい。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2158,朝長 郁海,郁海,女,火,DF,選手,中学生,二年生,無所属,早朝から勉強しているので放課後は自由に遊んでいる。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2159,荘田 子休,荘田,女,林,DF,選手,中学生,三年生,無所属,歴史上の人物である　『荘子』のような生き方に憧れて　本を何度も読んでいる。,×,×,○,×,○,○,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2160,油田 削,油田,男,林,MF,選手,中学生,二年生,無所属,日本のどこかで油田を掘り当てて油田王になるという　野望を持っている。,×,×,○,×,○,○,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
2161,真鳥 佳子,マトりん,女,火,DF,選手,中学生,二年生,無所属,服を何枚も着こんでいるので見た目よりもはるかに小柄。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2162,諸丘 孔明,孔明,男,林,MF,選手,中学生,三年生,無所属,相手のウラをかく天才。彼の作戦は誰にも予想できない。,×,×,○,×,×,×,×,×,○,93,101,98,81,82,75,90,194,191,188,172,171,163,708
2163,岩山 大聖,タイセイ,男,山,FW,選手,中学生,一年生,無所属,激しいブロックや　スライディングにも岩山のようにどっしりと構えて突き進む。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2164,福王子 麻伊子,麻伊子,女,山,FW,選手,中学生,二年生,無所属,ラケットボールの中学チャンピオン。競技人口を増やすための活動をしている。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2165,肝付 貴美,貴美,女,風,FW,選手,中学生,二年生,無所属,みんなが怖がるホラー映画を１人で平気で見ている。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2166,角頭 浩馬,角頭,男,林,FW,選手,中学生,二年生,無所属,古い兜を集めていて特に角のついたものがお気に入り。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2167,琴弾 富士子,コトちゃん,女,火,FW,選手,中学生,三年生,無所属,子どものころ中国に住んでいて珍しい琴を弾くことができる。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2168,造船 郁海,造船,男,火,DF,選手,中学生,二年生,無所属,木造船を造ることに憧れて毎日　本を読んでいる。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2169,航海 遙,航海,女,林,FW,選手,中学生,二年生,無所属,航海術を研究していてＧＰＳがなくても航路を設定できる。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2170,舞姫 華夜,舞姫,女,山,FW,選手,中学生,一年生,無所属,中世の優雅な舞踏会に憧れて自宅でドレスを着て　踊りの練習をしている。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2171,筒帽 禿,シャコー,男,風,GK,選手,中学生,二年生,無所属,海外で使われている円筒形の帽子を部屋いっぱいにコレクションしている。,×,×,○,×,○,○,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2172,月野 楽太,ラクダ,男,山,FW,選手,中学生,二年生,無所属,ラクダのようにのんびりと散歩するのが大好き。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2173,津軽 鏡子,津軽,女,風,FW,選手,中学生,二年生,無所属,各地の海峡を見るのが好きな　海峡マニア。中でもやはり　津軽海峡は格別なのだとか。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2174,小熊 坂洲,サーカス,男,風,GK,選手,中学生,一年生,無所属,玉乗りの曲芸をやらせたら天下一品！,×,×,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2175,牛窓 壮太,牛窓,男,林,MF,選手,中学生,二年生,無所属,毎朝　飼っている乳牛の乳しぼりをやっている。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2176,大江 百鬼,百鬼,男,火,GK,選手,中学生,三年生,無所属,絶世の美少年だったが呪いでこんな顔になったらしい。,×,×,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2177,笛頭 峻也,フェズ,男,林,FW,選手,中学生,三年生,無所属,モロッコの文化に憧れていつも民族衣装を着ている。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2178,佐太 豪之介,佐太,男,林,DF,選手,中学生,二年生,無所属,クワガタの養殖をやっていて夏には部屋がクワガタだらけに。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2179,召喚 願,召喚,男,火,FW,選手,中学生,三年生,無所属,魔物を呼び出して　その力でサッカーがうまくなるよう研究中。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2180,入来院 幹乗,入来院,男,山,FW,選手,中学生,二年生,無所属,絶対に痛くない治療をする歯科医を目指している。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2181,乳井 和華子,ミルク,女,林,MF,選手,中学生,二年生,無所属,新鮮なミルクを使って乳製品を作るのが大好き。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2182,魚吹 華,ハナ,女,風,DF,選手,中学生,二年生,無所属,アロマセラピーを勉強していていつもアロマオイルを持ち歩いている。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2183,千徳 真咲,千徳,女,林,FW,選手,中学生,二年生,無所属,中学バトントワリングの世界では有名人。華麗なバトンさばきで　見る者を虜にする。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2184,寒川 申,寒川,男,山,FW,選手,中学生,二年生,無所属,名刺デザインの神童。その名刺を使うと　商売がうまくいくとか。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2185,田版 啓右,ターバン,男,風,DF,選手,中学生,三年生,無所属,日よけに　いつもターバンをかぶっている。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2186,浅利 大樹郎,浅利,男,山,DF,選手,中学生,三年生,無所属,催眠術を研究しているがなぜか自分にばかり　かかってしまう。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2187,丸目 礼紘,丸目,男,火,DF,選手,中学生,二年生,無所属,日本伝統の手品である『和妻』を研究している。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2188,開口 正陽,開口,男,風,GK,選手,中学生,二年生,無所属,花火大会を見るのが大好きで日本中を回っている。,×,×,○,×,×,×,×,×,○,79,86,81,91,95,98,86,165,172,167,181,177,186,859
2189,宇倍 寛明,宇倍,男,山,MF,選手,中学生,一年生,無所属,コンクリートが大好きで温かみのあるものにできないか研究している。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2190,狭野 焦一,狭野,男,山,DF,選手,中学生,二年生,無所属,天然モノにも負けないようなマグロの養殖を目指して奮闘中。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2191,杣 有基,杣,男,山,DF,選手,中学生,二年生,無所属,誰もが怖がる　究極のお化け屋敷を作ろうとしている。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2192,一畑 幸寿,一畑,男,林,DF,選手,中学生,一年生,無所属,荒れ地を畑として耕すことに一生懸命になっている。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2193,葛西 克仁,葛西,男,山,MF,選手,中学生,三年生,無所属,昔のモノクロの絵はがきをコレクションするのが趣味。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2194,多陣 香美,タジン,女,山,MF,選手,中学生,二年生,無所属,北アフリカ名物のタジン鍋を作ることができる。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2195,長等 準次,長等,男,火,DF,選手,中学生,二年生,無所属,ラジオを聴きながらでないと勉強ができない『ながら族』。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2196,曲直瀬 倫義,曲直瀬,男,山,MF,選手,中学生,二年生,無所属,臼と杵でついた餅しか絶対に食べようとしない。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2197,馬路 蒼騎,馬路,男,林,MF,選手,中学生,二年生,無所属,馬でモンゴルの平原を旅するのが夢。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2198,狭山 海賀,狭山,男,火,FW,選手,中学生,二年生,無所属,ワニとかカンガルーとか珍しい肉を食べるのが大好き。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2199,網場 衣夜,アバヤ,女,火,FW,選手,中学生,三年生,無所属,外出時には　すっぽりと顔を覆う服をいつも着ている。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2200,小貫 才次朗,小貫,男,風,MF,選手,中学生,三年生,無所属,懐かしい幻灯機を集めていて時々上映会をやっている。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2201,阿志都 大斗,阿志都,男,風,FW,選手,中学生,二年生,無所属,めずらしい腕時計を集めているコレクター。彼のもとには　海外からの取材が来るほど。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2202,衣羽 亜恵花,エバ,女,風,GK,選手,中学生,二年生,無所属,グリーティングカードのデザイン名人。クリスマス前は大忙し。,×,×,○,×,×,×,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2203,小塙 直影,小塙,男,風,FW,選手,中学生,一年生,無所属,井戸を掘る名人。どんな枯れた土地でも　見事に掘り当てる。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2204,安仁 里杏,あんどん,男,林,FW,選手,中学生,一年生,無所属,電灯ではなく行灯で生活しているという今時珍しい人。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2205,多賀谷 鯰,ナマズ,男,林,DF,選手,中学生,一年生,無所属,地震とナマズの関係を研究していて家の水槽はナマズだらけ。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2206,永源 羽乃,ブック,女,林,FW,選手,中学生,二年生,無所属,破損した本は　どんな古いものでも見事に修理してしまう。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2207,塩釜 勇造,塩釜,男,山,FW,選手,中学生,二年生,無所属,本物の妖怪を求めて全国を旅行中。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2208,伊木 永太,伊木,男,風,MF,選手,中学生,二年生,無所属,魚をおろす名人。小魚からマグロの解体まで　何でもござれ！,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2209,油日 桂志郎,らーゆ,男,火,GK,選手,中学生,二年生,無所属,彼が作るラー油は　どんな料理にも合うと大評判となり　町内でブームが起きている。,×,×,○,×,○,○,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2210,白鷺 朱純,白鷺,男,風,GK,選手,中学生,二年生,無所属,常に自分の行動が　美しく優雅でなければ気が済まないという　たいへんなナルシスト。,×,×,○,×,○,○,×,×,○,79,86,81,88,95,101,86,165,172,167,181,174,183,865
2211,老尾 明宗,老尾,男,林,MF,選手,中学生,二年生,無所属,大名行列に憧れていて自分が運ばれることを夢見ている。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2212,志賀海 邦花,邦花,女,林,MF,選手,中学生,一年生,無所属,羽子板のコレクター。羽子板市のときには　必ず浅草に来る。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2213,恵隆 亜須帆,亜須帆,女,林,FW,選手,中学生,二年生,無所属,どんなシャツでも１分でアイロンがけしてしまう。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2214,天久 和志朗,天久,男,山,DF,選手,中学生,二年生,無所属,人力車を引き　お客さんを乗せている。市内の観光案内もお手のものである。,×,×,○,×,○,○,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2215,生石 智児,生石,男,山,FW,選手,中学生,三年生,無所属,とにかく登山が大好きで　年に一度は富士山の頂上まで登らないと気が済まない。,×,×,○,×,○,○,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2216,丹屋 使枝,ニャア,女,山,DF,選手,中学生,一年生,無所属,彼女が横切ると　その人に不幸が訪れるという　もっぱらのウワサ。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2217,魔法 陣,まほうじん,男,風,FW,選手,中学生,三年生,無所属,学校のグラウンドにいつも訳の分からない模様を描いている。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2218,識名 波門,識名,男,火,FW,選手,中学生,一年生,無所属,名字の由来に詳しくクラスメートの祖先をピタリと言い当てる。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2219,大笹 牧吾郎,ささぶえ,男,林,MF,選手,中学生,二年生,無所属,笹笛の名人。１枚の笹の葉で　あらゆる曲を吹ける。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2220,天穂 康沖,天穂,男,林,DF,選手,中学生,二年生,無所属,どんな土地でも育つ稲を研究して毎日　田んぼにいる。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2221,輪王寺 頼吾,輪王寺,男,林,FW,選手,中学生,二年生,無所属,競輪選手を目指して毎日１００キロも自転車で走っている。,×,×,○,×,×,×,×,×,○,110,104,95,77,75,75,83,214,187,178,158,160,152,679
2222,善峯 育次郎,善峯,男,風,DF,選手,中学生,二年生,無所属,中学生なのに　浮世絵に魅せられて自分でも作ろうとしている。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2223,甘蔗 隆住,サトウキビ,男,風,FW,選手,中学生,二年生,無所属,サトウキビが大好きで学校の中でも　いつもかじっている。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2224,小航 噴流,小航,男,山,FW,選手,中学生,二年生,無所属,ジェット機の中でも　小型のものだけが好きな　ちょっと変わったマニア。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2225,珈琲 挽,コーヒー,男,山,MF,選手,中学生,三年生,無所属,本格的なコーヒー栽培を目指して自宅にハウスを作っている。,×,×,○,×,×,×,×,×,○,90,104,105,77,75,75,93,194,197,198,168,170,152,679
2226,黒豆 煮,くろまめ,男,風,DF,選手,中学生,二年生,無所属,ブラジルの豆料理が大好き。でも友人は　なかなか食べてくれない。,×,×,○,×,×,×,×,×,○,76,79,77,95,99,81,110,155,189,187,209,205,194,811
2227,高力 岐一郎,高力,男,林,FW,選手,中学生,二年生,無所属,おいしいご飯を炊くにはかまどが一番と　こだわっている。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
2228,井伊谷 茂惇,いいのや,男,林,DF,選手,中学生,二年生,無所属,彼に迷惑をかけても「いいのや」と気持ちよく許してくれる。,×,×,○,×,×,×,×,×,○,79,83,84,91,95,81,104,162,187,188,199,195,186,791
2229,煌多 滋亜,ファン,女,火,FW,選手,中学生,三年生,無所属,カーニバルのような　派手な衣装でいつも先生に怒られている。,×,×,○,×,×,×,×,×,○,104,101,91,81,78,75,90,205,191,181,168,171,159,696
